Time_ms,V_Gate_V,V_Drain_V
2.0032810719997074,3.6004124,6.848567
2.011531071999694,3.6014478,6.837904
2.028831071999666,3.6036031,6.8157167
2.0461310719996386,3.6057158,6.7939796
2.0462310719996384,3.605728,6.7938557
2.071781071999597,3.6087165,6.7631288
2.0973310719995566,3.6114807,6.7347417
2.0974310719995564,3.611491,6.7346363
2.122981071999515,3.6139584,6.709342
2.1485310719994746,3.6160665,6.687785
2.1486310719994743,3.616074,6.687709
2.174181071999433,3.6177669,6.670472
2.1997310719993926,3.6190028,6.6579866
2.1998310719993923,3.6190066,6.6579475
2.225381071999351,3.6197515,6.6505623
2.2509310719993105,3.619988,6.648448
2.2510310719993103,3.619988,6.6484504
2.276581071999269,3.619708,6.6516867
2.3021310719992285,3.6189213,6.6601644
2.3022310719992283,3.6189172,6.6602077
2.327781071999187,3.6176417,6.673727
2.3533310719991465,3.6159122,6.6919117
2.3534310719991463,3.6159046,6.691992
2.378981071999105,3.613764,6.714385
2.4045310719990645,3.6112692,6.7403836
2.4046310719990642,3.6112587,6.7404914
2.430181071999023,3.6084728,6.769431
2.4557310719989824,3.6054688,6.8005466
2.455831071998982,3.6054566,6.8006716
2.475181071998951,3.6030831,6.825197
2.49453107199892,3.600664,6.850144
2.5070310719989,3.5990934,6.8663106
2.532581071998859,3.5959113,6.8990064
2.5581310719988184,3.592834,6.9305387
2.558231071998818,3.5928223,6.930659
2.583781071998777,3.5899298,6.9602118
2.6093310719987364,3.5872958,6.987038
2.609431071998736,3.5872862,6.987137
2.634981071998695,3.5849802,7.0105386
2.6605310719986544,3.58306,7.029936
2.660631071998654,3.5830534,7.030003
2.686181071998613,3.5815704,7.0448837
2.7117310719985723,3.5805612,7.054891
2.711831071998572,3.580558,7.05492
2.7373810719985308,3.5800505,7.0597787
2.7629310719984903,3.5800555,7.059387
2.76303107199849,3.5800564,7.059376
2.7885810719984487,3.5805762,7.0537214
2.8141310719984083,3.581595,7.042971
2.814231071998408,3.5815997,7.042919
2.8397810719983667,3.5830934,7.027322
2.8653310719983263,3.5850215,7.007294
2.865431071998326,3.5850298,7.007208
2.8909810719982847,3.5873444,6.98324
2.9165310719982442,3.5899837,6.95596
2.916631071998244,3.5899947,6.9558473
2.9421810719982027,3.5928924,6.925937
2.967731071998162,3.5959725,6.8941736
2.967831071998162,3.595985,6.8940463
2.9837810719981364,3.5979655,6.8736343
2.9997310719981107,3.5999663,6.853022
3.01903107199808,3.6023858,6.828108
3.0445810719980386,3.6055288,6.7957635
3.070131071997998,3.6085296,6.764911
3.070231071997998,3.6085408,6.7647943
3.0957810719979566,3.6113207,6.736245
3.121331071997916,3.6138093,6.71073
3.121431071997916,3.6138184,6.710637
3.1469810719978746,3.6159499,6.688838
3.172531071997834,3.617671,6.6713076
3.172631071997834,3.617677,6.671248
3.1981810719977926,3.6189413,6.658465
3.223731071997752,3.6197186,6.650743
3.223831071997752,3.6197207,6.650723
3.2493810719977105,3.6199882,6.6482882
3.27493107199767,3.6197417,6.6511803
3.27503107199767,3.6197398,6.6512017
3.3005810719976285,3.6189833,6.6593685
3.326131071997588,3.6177382,6.6725717
3.326231071997588,3.6177325,6.672633
3.3517810719975465,3.6160293,6.690549
3.377331071997506,3.6139135,6.7126875
3.377431071997506,3.6139045,6.7127814
3.4029810719974645,3.6114295,6.738581
3.428531071997424,3.6086602,6.7673535
3.428631071997424,3.608649,6.767471
3.4541810719973824,3.605656,6.7984776
3.479731071997342,3.6025171,6.8309054
3.4798310719973418,3.6025047,6.8310337
3.488681071997328,3.601398,6.842446
3.4975310719973134,3.600287,6.8538923
3.5142310719972865,3.598191,6.8754606
3.53093107199726,3.5961146,6.8967886
3.5310310719972597,3.5961022,6.896915
3.5565810719972184,3.5930161,6.9285417
3.582131071997178,3.5901096,6.958246
3.5822310719971777,3.5900986,6.958358
3.6077810719971364,3.587447,6.9853697
3.633331071997096,3.585118,7.009012
3.6334310719970957,3.5851095,7.009097
3.6589810719970544,3.5831647,7.0287514
